paper,author,self_citations
The_No-U-Turn_Sampler_as_a_Proposal_Distribution_in_a_Sequential_Monte_Carlo_Sampler_Without_Accept_Reject,Matthew Carter,0
The_No-U-Turn_Sampler_as_a_Proposal_Distribution_in_a_Sequential_Monte_Carlo_Sampler_Without_Accept_Reject,Lee Devlin,1
The_No-U-Turn_Sampler_as_a_Proposal_Distribution_in_a_Sequential_Monte_Carlo_Sampler_Without_Accept_Reject,Paul Horridge,0
The_No-U-Turn_Sampler_as_a_Proposal_Distribution_in_a_Sequential_Monte_Carlo_Sampler_Without_Accept_Reject,Peter Green,1
The_No-U-Turn_Sampler_as_a_Proposal_Distribution_in_a_Sequential_Monte_Carlo_Sampler_Without_Accept_Reject,Simon Maskell,3
Efficient Sequential Monte-Carlo Samplers for Bayesian Inference,Franc¸ois Septier,2
Efficient Sequential Monte-Carlo Samplers for Bayesian Inference,Yves Delignon,2
Efficient Sequential Monte-Carlo Samplers for Bayesian Inference,Gareth Peters,3
1905.10252v1,Alessandro Varsi,1
1905.10252v1,Simon Maskell,5
